sentence1,sentence2,similarity_score
There is no man in a red uniform making a jump in a dirt bike race,A man in a red uniform is making a jump in a dirt bike race,3.4
Rugby players are not tackling each other,A soccer player is being tackled by his opponent,2.5
A white dog is standing on fallen leaves,A white dog is lying on fallen leaves,3.8
A child in clothing which is light colored is standing with his arms extended outward,A child in light colored clothing is standing with his arms extended outward,5.0
The boy and girl are not playing on a playground,The boy and girl are playing on the outdoor gym,3.0
The motocross rider is standing naked,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",2.6
The rider on the blue and black motocross bike is not wearing the pants,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",3.2
A trick is being performed by a rollerblader on a ramp,A rollerblader is performing a trick on a ramp,5.0
A group of football players is standing still in the field,The crowd is watching a football game,2.6
The group of people is standing together and looking at the camera,A group of people is standing together and looking at the camera,5.0
A brown dog is running across the yard with a toy in its mouth,There is no brown dog running across the yard with a toy in its mouth,3.8
There is no young boy jumping in the air with his knees bent and arms spread,A person with a green shirt is jumping high over the grass,2.6
A cigarette is being smoked by the man in the straw hat,A man is wearing a straw hat and smoking a cigarette,4.8
A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street,A man is wearing a blue checkered shirt and riding a unicycle in the street,4.3
Small children are climbing a statue in a park,Two children are playing on a statue,4.1
A tower is being looked at by a blonde lady,A woman is looking at the view of a city,3.3
A man is standing on the top of the rocks with clouds behind them,Somebody is standing on a mountain top,3.1
A child is smiling at the camera and swimming underwater,A child is swimming underwater in a pool,4.1
An American footballer is wearing the red and white strip,A football player is wearing black armbands,2.4
The little girl is swinging and the woman is standing behind her,"The girl, who is little, is swinging and the woman is standing behind",4.9
A small child is showing excitement on a swing set at the park,"The girl, who is little, is swinging and the woman is standing behind",3.6
A surfer is riding the wave,A man is falling off a surfboard in the water,3.5
The group of people is sitting in a dim room,The group of people is sitting in a room which is dim,4.9
A man and two women in a dark room are sitting at a table with candles,The group of people is sitting in a dim room,3.6
A man and two women in a darkened room are sitting at a table with candles,The group of dim people is sitting in a room,2.5
A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,4.9
The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt,A person is wearing a red jacket and holding a beer,2.4
A child is watching someone playing outdoors and is spouting water over the rest of his family ,A boy is holding a hose next to a man and another boy is watching,3.0
There is no football player in a purple jersey running with the ball for a touchdown,A football player is running past an official carrying a football,3.3
A football player is carrying an official past a rolling football,A football player in a purple jersey is running with the ball for a touchdown,2.9
A young girl in a blue leotard is jumping in the air,A young girl in a leotard colored in blue is jumping in the air,5.0
The young girl in blue is jumping in the air,A young girl in blue is jumping in the air,5.0
The bunch of men are playing rugby on a field full of mud,Some men are playing rugby,4.5
A person is looking at a bike designed for motocross that is lying on its side and another is racing by,The bike rider is looking at an accident of another bike rider,3.1
There is no little boy wearing a green soccer strip and running on the grass,A little boy is wearing a green soccer strip and is running on the grass,3.6
The man at the beach is not doing a handstand on the wet sand at the edge of the water,The man is doing a handstand on the wet sand at the edge of the water at the beach,3.7
A young mother is playing with her boy in the park,A young boy is playing in the park with his mother,4.5
A man is spraying a super soaker into the mouth of a dog,There is no man spraying a super soaker into the mouth of a dog,3.8
There is no man spraying a super soaker into the mouth of a dog,A man is squirting water into the mouth of a white dog with a squirt gun,2.9
A boy under an umbrella is being held by his father who is wearing a blue coat,"A boy, who is wearing a blue coat, is being held by his father under an umbrella ",4.3
A boy under an umbrella is being held by his father who is wearing a blue coat,A child is experiencing a new world,1.5
A dog is playing alone on a beach covered by snow,A dog is walking along a snowdrift,3.2
A surfer is riding a big wave across dark green water,The surfer is riding a small wave,3.9
A tennis player is lunging to the left,A tennis player is jumping to the left,4.4
Two dogs are looking at something that is splashing in the water,Some dogs are not playing in a stream,3.7
A man in a blue cowboy hat is riding a white horse,A man in blue is riding a horse on a dirt road,3.9
Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,4.7
A person in a pink jacket is running onto the field,Four athletes are with a woman in a crowded stadium,2.0
A woman dressed in elegant clothing is inside a crowd of people and is looking up,A woman dressed in elegant clothing is inside a crowd of people and is looking down,3.1
An Asian woman is holding a fur scarf,An elegant woman is inside a crowd of people and is looking down,2.2
A kid in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,3.4
A girl is running through the water at the beach,A boy in a white t-shirt is splashing in shallow water,2.3
